,pub_id,category1,category2,category3,category4,category5,category6,category7,category8,category9,category10,Max,Max_index
0,4181,0.019685039,0.421259843,0.12992126,0.011811024,0.003937008,0.011811024,0.059055118,0.161417323,0.019685039,0.161417323,0.421259843,2
1,4183,0.246666667,0.406666667,0.033333333,0.02,0.02,0.153333333,0.06,0.006666667,0.006666667,0.046666667,0.406666667,2
2,4184,0.162921348,0.061797753,0.050561798,0.050561798,0.45505618,0.117977528,0.039325843,0.039325843,0.005617978,0.016853933,0.45505618,5
3,4185,0.004854369,0.004854369,0.053398058,0.04368932,0.189320388,0.645631068,0.004854369,0.004854369,0.033980583,0.014563107,0.645631068,6
4,4186,0.180555556,0.041666667,0.041666667,0.013888889,0.023148148,0.652777778,0.00462963,0.00462963,0.032407407,0.00462963,0.652777778,6
5,4187,0.004901961,0.06372549,0.014705882,0.004901961,0.014705882,0.426470588,0.083333333,0.112745098,0.044117647,0.230392157,0.426470588,6
6,4189,0.059782609,0.266304348,0.451086957,0.038043478,0.005434783,0.092391304,0.005434783,0.027173913,0.048913043,0.005434783,0.451086957,3
7,4190,0.005617978,0.016853933,0.073033708,0.162921348,0.264044944,0.005617978,0.365168539,0.050561798,0.050561798,0.005617978,0.365168539,7
8,4191,0.005617978,0.151685393,0.039325843,0.140449438,0.073033708,0.095505618,0.005617978,0.151685393,0.005617978,0.331460674,0.331460674,10
9,4192,0.009615385,0.009615385,0.125,0.125,0.105769231,0.009615385,0.240384615,0.125,0.144230769,0.105769231,0.240384615,7
10,4193,0.133928571,0.223214286,0.294642857,0.044642857,0.026785714,0.026785714,0.098214286,0.0625,0.0625,0.026785714,0.294642857,3
11,4194,0.012820513,0.047008547,0.337606838,0.004273504,0.004273504,0.14957265,0.021367521,0.012820513,0.371794872,0.038461538,0.371794872,9
12,4195,0.071428571,0.139097744,0.214285714,0.011278195,0.078947368,0.003759398,0.011278195,0.003759398,0.184210526,0.281954887,0.281954887,10
13,4196,0.009259259,0.046296296,0.435185185,0.157407407,0.064814815,0.194444444,0.046296296,0.009259259,0.009259259,0.027777778,0.435185185,3
14,4197,0.277777778,0.00617284,0.018518519,0.216049383,0.080246914,0.00617284,0.203703704,0.043209877,0.141975309,0.00617284,0.277777778,1
15,4198,0.125,0.005952381,0.005952381,0.005952381,0.053571429,0.005952381,0.267857143,0.041666667,0.482142857,0.005952381,0.482142857,9
16,4199,0.015789474,0.005263158,0.173684211,0.457894737,0.068421053,0.047368421,0.057894737,0.005263158,0.163157895,0.005263158,0.457894737,4
17,4200,0.080882353,0.066176471,0.536764706,0.036764706,0.022058824,0.036764706,0.022058824,0.095588235,0.051470588,0.051470588,0.536764706,3
18,4201,0.006329114,0.082278481,0.03164557,0.132911392,0.386075949,0.221518987,0.018987342,0.006329114,0.107594937,0.006329114,0.386075949,5
19,4202,0.218309859,0.147887324,0.049295775,0.105633803,0.063380282,0.007042254,0.035211268,0.021126761,0.063380282,0.288732394,0.288732394,10
20,4203,0.004672897,0.042056075,0.144859813,0.238317757,0.154205607,0.191588785,0.03271028,0.023364486,0.144859813,0.023364486,0.238317757,4
21,4204,0.063380282,0.190140845,0.528169014,0.021126761,0.035211268,0.007042254,0.007042254,0.021126761,0.021126761,0.105633803,0.528169014,3
22,4205,0.018292683,0.006097561,0.006097561,0.25,0.347560976,0.079268293,0.006097561,0.006097561,0.079268293,0.201219512,0.347560976,5
23,4206,0.036764706,0.316176471,0.007352941,0.007352941,0.036764706,0.022058824,0.198529412,0.330882353,0.007352941,0.036764706,0.330882353,8
24,4207,0.096153846,0.480769231,0.211538462,0.032051282,0.032051282,0.057692308,0.070512821,0.006410256,0.006410256,0.006410256,0.480769231,2
25,4208,0.271428571,0.1,0.014285714,0.014285714,0.014285714,0.242857143,0.014285714,0.042857143,0.128571429,0.157142857,0.271428571,1
26,4210,0.089285714,0.125,0.041666667,0.017857143,0.267857143,0.005952381,0.017857143,0.005952381,0.017857143,0.410714286,0.410714286,10
27,4211,0.411111111,0.277777778,0.011111111,0.077777778,0.077777778,0.1,0.011111111,0.011111111,0.011111111,0.011111111,0.411111111,1
28,4212,0.022727273,0.401515152,0.083333333,0.007575758,0.128787879,0.083333333,0.007575758,0.007575758,0.022727273,0.234848485,0.401515152,2
29,4213,0.004901961,0.289215686,0.12254902,0.053921569,0.024509804,0.004901961,0.014705882,0.014705882,0.328431373,0.142156863,0.328431373,9
30,4214,0.005,0.125,0.005,0.235,0.385,0.015,0.155,0.045,0.005,0.025,0.385,5
31,4215,0.055555556,0.388888889,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.166666667,0.388888889,2
32,4216,0.21,0.05,0.01,0.01,0.03,0.13,0.17,0.11,0.03,0.25,0.25,10
33,4217,0.005154639,0.015463918,0.025773196,0.108247423,0.273195876,0.448453608,0.005154639,0.025773196,0.077319588,0.015463918,0.448453608,6
34,4218,0.00862069,0.25,0.025862069,0.00862069,0.181034483,0.00862069,0.025862069,0.060344828,0.387931034,0.043103448,0.387931034,9
35,4219,0.025,0.008333333,0.175,0.008333333,0.458333333,0.058333333,0.025,0.008333333,0.225,0.008333333,0.458333333,5
36,4220,0.018987342,0.03164557,0.196202532,0.183544304,0.335443038,0.082278481,0.006329114,0.006329114,0.107594937,0.03164557,0.335443038,5
37,4221,0.052380952,0.061904762,0.357142857,0.004761905,0.004761905,0.29047619,0.080952381,0.033333333,0.10952381,0.004761905,0.357142857,3
38,4222,0.412087912,0.214285714,0.082417582,0.082417582,0.005494505,0.06043956,0.005494505,0.082417582,0.038461538,0.016483516,0.412087912,1
39,4223,0.309210526,0.006578947,0.375,0.019736842,0.006578947,0.006578947,0.032894737,0.032894737,0.203947368,0.006578947,0.375,3
40,4224,0.03125,0.13125,0.06875,0.03125,0.00625,0.16875,0.05625,0.01875,0.15625,0.33125,0.33125,10
41,4225,0.005102041,0.117346939,0.137755102,0.066326531,0.005102041,0.474489796,0.025510204,0.005102041,0.076530612,0.086734694,0.474489796,6
42,4226,0.008474576,0.008474576,0.008474576,0.093220339,0.601694915,0.093220339,0.110169492,0.008474576,0.008474576,0.059322034,0.601694915,5
43,4227,0.039325843,0.106741573,0.084269663,0.005617978,0.061797753,0.061797753,0.129213483,0.016853933,0.117977528,0.376404494,0.376404494,10
44,4228,0.019685039,0.051181102,0.027559055,0.019685039,0.003937008,0.688976378,0.003937008,0.011811024,0.153543307,0.019685039,0.688976378,6
45,4229,0.010204082,0.051020408,0.010204082,0.255102041,0.295918367,0.153061224,0.051020408,0.030612245,0.112244898,0.030612245,0.295918367,5
46,4230,0.004950495,0.004950495,0.292079208,0.004950495,0.024752475,0.638613861,0.004950495,0.004950495,0.014851485,0.004950495,0.638613861,6
47,4231,0.154545455,0.209090909,0.009090909,0.009090909,0.463636364,0.063636364,0.027272727,0.045454545,0.009090909,0.009090909,0.463636364,5
48,4232,0.077777778,0.025925926,0.003703704,0.181481481,0.433333333,0.018518519,0.174074074,0.011111111,0.011111111,0.062962963,0.433333333,5
49,4233,0.005434783,0.135869565,0.168478261,0.211956522,0.298913043,0.027173913,0.027173913,0.092391304,0.005434783,0.027173913,0.298913043,5
50,4234,0.014563107,0.101941748,0.529126214,0.004854369,0.024271845,0.004854369,0.208737864,0.004854369,0.004854369,0.101941748,0.529126214,3
51,4235,0.006756757,0.060810811,0.087837838,0.101351351,0.060810811,0.006756757,0.344594595,0.168918919,0.087837838,0.074324324,0.344594595,7
52,4236,0.011450382,0.003816794,0.270992366,0.019083969,0.041984733,0.583969466,0.011450382,0.049618321,0.003816794,0.003816794,0.583969466,6
53,4237,0.026041667,0.036458333,0.036458333,0.067708333,0.015625,0.036458333,0.161458333,0.005208333,0.515625,0.098958333,0.515625,9
54,4238,0.031791908,0.095375723,0.026011561,0.037572254,0.037572254,0.049132948,0.124277457,0.199421965,0.130057803,0.268786127,0.268786127,10
55,4239,0.003875969,0.003875969,0.042635659,0.104651163,0.313953488,0.445736434,0.011627907,0.027131783,0.042635659,0.003875969,0.445736434,6
56,4240,0.008064516,0.411290323,0.056451613,0.008064516,0.072580645,0.056451613,0.137096774,0.008064516,0.120967742,0.120967742,0.411290323,2
57,4241,0.003496503,0.038461538,0.003496503,0.087412587,0.052447552,0.115384615,0.003496503,0.506993007,0.003496503,0.185314685,0.506993007,8
58,4242,0.022727273,0.128787879,0.143939394,0.022727273,0.007575758,0.007575758,0.159090909,0.053030303,0.416666667,0.037878788,0.416666667,9
59,4243,0.136363636,0.409090909,0.136363636,0.045454545,0.045454545,0.045454545,0.045454545,0.045454545,0.045454545,0.045454545,0.409090909,2
60,4244,0.055555556,0.151851852,0.374074074,0.025925926,0.003703704,0.077777778,0.003703704,0.033333333,0.062962963,0.211111111,0.374074074,3
61,4245,0.019736842,0.322368421,0.072368421,0.006578947,0.019736842,0.006578947,0.006578947,0.335526316,0.138157895,0.072368421,0.335526316,8
62,4246,0.054216867,0.090361446,0.222891566,0.054216867,0.102409639,0.090361446,0.210843373,0.018072289,0.138554217,0.018072289,0.222891566,3
63,4247,0.04375,0.25625,0.04375,0.08125,0.04375,0.14375,0.11875,0.13125,0.04375,0.09375,0.25625,2
64,4248,0.053846154,0.130769231,0.161538462,0.007692308,0.007692308,0.038461538,0.023076923,0.007692308,0.561538462,0.007692308,0.561538462,9
65,4249,0.403225806,0.112903226,0.02688172,0.037634409,0.306451613,0.005376344,0.037634409,0.048387097,0.005376344,0.016129032,0.403225806,1
66,4251,0.036231884,0.050724638,0.5,0.094202899,0.007246377,0.007246377,0.036231884,0.007246377,0.210144928,0.050724638,0.5,3
67,4252,0.028225806,0.100806452,0.02016129,0.004032258,0.012096774,0.794354839,0.012096774,0.004032258,0.012096774,0.012096774,0.794354839,6
68,4253,0.052238806,0.141791045,0.186567164,0.097014925,0.126865672,0.037313433,0.007462687,0.02238806,0.305970149,0.02238806,0.305970149,9
69,4254,0.040697674,0.145348837,0.122093023,0.040697674,0.145348837,0.005813953,0.215116279,0.25,0.029069767,0.005813953,0.25,8
70,4255,0.12745098,0.18627451,0.049019608,0.029411765,0.009803922,0.009803922,0.303921569,0.009803922,0.264705882,0.009803922,0.303921569,7
71,4256,0.053191489,0.138297872,0.138297872,0.053191489,0.053191489,0.074468085,0.053191489,0.159574468,0.010638298,0.265957447,0.265957447,10
72,4257,0.059633028,0.224770642,0.399082569,0.004587156,0.02293578,0.004587156,0.013761468,0.004587156,0.02293578,0.243119266,0.399082569,3
73,4258,0.084821429,0.15625,0.075892857,0.004464286,0.495535714,0.040178571,0.058035714,0.03125,0.022321429,0.03125,0.495535714,5
